SiteName,SiteID,PrimaryUse,Borough,AreaHa,Easting,Northing,Qualifier,Access,DataSource,DataVersion,ReleaseDate,Copyright
St Mary's Church (Waltham Forest),OS_WF_0251,Cemetery/churchyard,Waltham Forest,0.9196,537645,186859,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
The Ching,OS_WF_0390,River,Waltham Forest,0.4261,537102,191599,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Folly Lane Playground,OS_WF_0315,Play space,Waltham Forest,0.2105,536322,190982,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Chase Lane Park,OS_WF_0043,Park,Waltham Forest,2.9623,536779,192544,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Folly Lane Community Woodland,OS_WF_0336,Public woodland,Waltham Forest,4.1599,536686,191501,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Enfield Island Village Ecological Area,OS_En_0138,Nature reserve,Enfield,2.5126,537545,199068,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cunningham Avenue,OS_En_0483,Amenity green space,Enfield,0.0854,536064,199401,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Pond off Kinetic Crescent,OS_En_0305,Other recreational,Enfield,1.0754,536622,199174,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Soham Road Recreation Ground,OS_En_0366,Recreation ground,Enfield,3.6147,536708,198614,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Canal Section at Thorneycroft Drive,OS_En_0071,Canal,Enfield,0.3687,537330,198529,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Kenninghall Open Space,OS_En_0224,Park,Enfield,2.0202,535002,192343,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lea Bridge Road verge,OS_WF_0147,Amenity green space,Waltham Forest,0.1916,535628,186693,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Walthamstow Marshes,OS_WF_0286,Nature reserve,Waltham Forest,33.836,535181,187495,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
New River Track,OS_WF_0197,Walking/cycling route,Waltham Forest,3.3806,535603,187273,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lea - Argall Cycleway,OS_WF_0143,Walking/cycling route,Waltham Forest,0.1309,536134,187169,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Greenleaf Road Playground,OS_WF_0318,Play space,Waltham Forest,0.0367,536937,189634,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lockwood Reservoir,OS_WF_0174,Nature reserve,Waltham Forest,42.4151,535271,190201,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Wild Marsh East (Tottenham Marshes),OS_WF_0269,Nature reserve,Waltham Forest,14.1103,535671,190994,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
William Morris Close,OS_WF_0305,Amenity green space,Waltham Forest,0.5287,536684,189812,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Down Lane Park,OS_Hg_0049,Park,Haringey,6.9358,534340,189889,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Clendish Marsh,OS_Hg_0230,Nature reserve,Haringey,11.2475,534925,190370,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Maynard Reservoirs,OS_WF_0189,Nature reserve,Waltham Forest,36.3155,535406,189742,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Tottenham Park Cemetery,OS_En_0403,Cemetery/churchyard,Enfield,2.5663,535014,193188,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Alma road open space,OS_En_0016,Playing fields,Enfield,2.6363,536138,196521,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hertford Road Cemetery,OS_En_0196,Cemetery/churchyard,Enfield,5.6493,535353,196967,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Enfield Playing Fields,OS_En_0141,Playing fields,Enfield,36.9836,534005,196947,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ponders End Park,OS_En_0306,Park,Enfield,5.2859,535466,195830,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Durants Park,OS_En_0115,Park,Enfield,19.7906,535582,196768,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Elmfield Road Open Space,OS_WF_0333,Amenity green space,Waltham Forest,0.1373,535774,188424,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St James Park (Waltham Forest),OS_WF_0247,Park,Waltham Forest,3.8243,536066,188286,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Coppermill Park,OS_WF_0358,Play space,Waltham Forest,0.236,535905,188685,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Low Hall Sports Ground,OS_WF_0180,Playing fields,Waltham Forest,17.4019,535797,187925,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hoe Lane Open Space,OS_En_0250,Amenity green space,Enfield,7.1001,534776,198273,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
ambridge Road Private Sports Field,OS_En_0422,Playing fields,Enfield,4.1403,534468,198573,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Forty Hall Park and Estate,OS_En_0162,Park,Enfield,30.0895,533737,198815,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gough Park,OS_En_0495,Park,Enfield,0.9639,533357,198303,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
The Green on Pittsmead Avenue,OS_By_0864,Amenity green space,Bromley,0.9124,540221,166606,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Coney Hall Recreation Ground,OS_By_0177,Recreation ground,Bromley,9.8543,539163,164994,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Mary the Virgin Churchyard (Bromley),OS_By_0820,Cemetery/churchyard,Bromley,0.8042,540600,166309,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Pickhurst Green and Cupola Wood,OS_By_0677,Recreation ground,Bromley,8.9561,539683,167159,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Addington Boundary Woods,OS_Cr_0002,Public woodland,Croydon,1.4673,539361,161795,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
North Down Recreation Ground,OS_Cr_0204,Recreation ground,Croydon,11.901,537747,162580,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"Land fronting 61-91 North Downs Road, New Addington",OS_Cr_0164,Amenity green space,Croydon,0.3666,538070,162253,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Central Parade,OS_Cr_0049,Village green,Croydon,0.5229,538348,162123,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ex-Blues club,OS_By_0272,Recreation ground,Bromley,1.92,538985,166275,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Blake Recreation Ground,OS_By_0075,Park,Bromley,4.1879,537903,166512,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
McAndrews Recreation Ground,OS_By_1058,Recreation ground,Bromley,1.3953,538488,165642,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
High Broom Wood,OS_By_0414,Nature reserve,Bromley,7.7307,537560,166638,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Shirley Heath (Spring Wood),OS_Cr_0279,Nature reserve,Croydon,27.8166,537237,164812,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Foxes Wood,OS_Cr_0108,Public woodland,Croydon,3.2839,536458,165103,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Land r/o 42-100 Addington Village Road,OS_Cr_0169,Amenity green space,Croydon,0.7429,537246,163972,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Falconwood Meadow,OS_Cr_0099,Nature reserve,Croydon,1.7296,537083,162873,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Shirley Church Recreation Ground,OS_Cr_0278,Recreation ground,Croydon,3.2983,536033,165355,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Pinewoods,OS_Cr_0229,Public woodland,Croydon,4.1989,535979,165021,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Heathfield,OS_Cr_0130,Park,Croydon,9.8202,535391,163776,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Amenity land at Shirley Oaks Village,OS_Cr_0014,Amenity green space,Croydon,12.8274,535787,166195,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"The Green, Featherbed Lane",OS_Cr_0318,Amenity green space,Croydon,0.762,536858,162870,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Land at Copse View,OS_Cr_0158,Amenity green space,Croydon,0.3085,536032,163004,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Selsdon Wood / Foxshaw / Courtwood,OS_Cr_0275,Public woodland,Croydon,83.9439,536256,161715,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Selsdon Recreation Ground,OS_Cr_0273,Recreation ground,Croydon,4.0239,535555,162097,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"Land between Farnborough Ave, Broadcoombe and Heathfield Vale, S Croydon",OS_Cr_0162,Amenity green space,Croydon,0.4016,535916,162921,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Sanderstead Plantation,OS_Cr_0265,Public woodland,Croydon,9.1381,534398,161917,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lloyd Park Recreation Ground,OS_Cr_0176,Recreation ground,Croydon,22.0666,533975,164650,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lloyd Park and Coombe Farm,OS_Cr_0175,Park,Croydon,25.2794,534403,165032,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Oaks Road Parkland,OS_Cr_0207,Public woodland,Croydon,3.8647,534787,164583,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Addiscombe Recreation Ground,OS_Cr_0008,Recreation ground,Croydon,3.207,534373,166051,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Addington Hills,OS_Cr_0005,Amenity green space,Croydon,53.1586,535262,164424,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Addiscombe Railway Park,OS_Cr_0370,Walking/cycling route,Croydon,1.9304,533933,166634,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ashburton Playing Fields / Stroud Green Amenity Area,OS_Cr_0020,Playing fields,Croydon,20.1244,535456,166902,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Stroud Green Well,OS_Cr_0314,Amenity green space,Croydon,1.9607,535146,166219,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Edgecoombe Playground,OS_Cr_0093,Play space,Croydon,0.5746,535511,162886,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Croham Hurst,OS_Cr_0070,Public woodland,Croydon,41.8004,533861,163156,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Wettern Tree Garden,OS_Cr_0350,Formal garden,Croydon,1.152,532884,162240,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Sanderstead Recreation Ground,OS_Cr_0267,Recreation ground,Croydon,7.6763,533942,161020,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Bourne Park (Croydon),OS_Cr_0037,Park,Croydon,2.9831,533272,159516,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"St. Mary's Cemetery, Bexley",OS_Bx_0226,Cemetery/churchyard,Bexley,1.0415,549935,173388,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Berwick Woods,OS_Hv_0026,Other recreational,Havering,26.5777,554024,183871,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Old Dagenham Park,OS_BD_0145,Park,Barking and Dagenham,13.3191,549715,184155,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
King George's Field,OS_BD_0125,Other recreational,Barking and Dagenham,0.9062,549288,183661,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gilmore Road Triangle,OS_Le_0099,Community garden,Lewisham,0.7369,538611,175206,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Pond Close Green,OS_Gr_0303,Amenity green space,Greenwich,0.8962,539953,176201,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Kings Wharf,OS_TH_0132,Formal garden,Tower Hamlets,0.1799,536673,181007,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cliff Walk Pocket Park,OS_Ne_0247,Amenity green space,Newham,0.0376,539731,182013,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Helens and St Giles Churchyard,OS_Hv_0451,Cemetery/churchyard,Havering,0.2901,552103,182196,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Plumstead Common West of The Slade,OS_Gr_0297,Park,Greenwich,7.5536,544937,177822,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Sutcliffe Park,OS_Gr_0358,Park,Greenwich,19.1269,541152,174834,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Eltham Palace Rd,OS_Gr_0124,Amenity green space,Greenwich,0.1707,542024,174170,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Brenchley Gardens,OS_So_0016,Amenity green space,Southwark,3.6201,535399,174400,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cutty Sark Gardens,OS_Gr_0367,Park,Greenwich,1.5599,538272,177890,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
North Cray Cemetery,OS_Bx_0320,Cemetery/churchyard,Bexley,0.3331,548734,171686,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Belingham Play Park,OS_Le_0300,Play space,Lewisham,2.1785,537066,172397,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cornmill Gardens,OS_Le_0323,Park,Lewisham,1.2414,538045,175712,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
King Edward III's Manor House,OS_So_0059,Park,Southwark,0.3127,534790,179705,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
The Old Churchyard / Scandrett St,OS_TH_0266,Cemetery/churchyard,Tower Hamlets,0.2615,534622,180099,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"St Mary's, Bexley",OS_Bx_0326,Cemetery/churchyard,Bexley,0.5785,549777,173453,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Grove Park Nature Reserve,OS_Le_0105,Nature reserve,Lewisham,5.1719,540267,172711,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hudson Road Open Space,OS_Bx_0124,Park,Bexley,0.595,548651,176668,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Crossness Path,OS_Bx_0068,River,Bexley,3.8083,547882,181401,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Fordham Park,OS_Le_0094,Park,Lewisham,3.4595,536468,177205,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
All Saints Churchyard (Tower Hamlets),OS_TH_0008,Cemetery/churchyard,Tower Hamlets,0.9437,538077,180938,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Garnet Walk,OS_Ne_0061,Amenity green space,Newham,0.3749,542407,181729,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Poverest Recreation Ground,OS_By_0687,Recreation ground,Bromley,4.9561,546200,168027,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Crossness Nature Reserve,OS_Bx_0269,Nature reserve,Bexley,17.7799,549338,180291,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
King Johns Walk,OS_Gr_0522,Walking/cycling route,Greenwich,0.807,542273,173969,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Mudchute City Farm,OS_TH_0172,City farm,Tower Hamlets,3.909,538201,178826,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Chipperfield Road green,OS_By_0147,Park,Bromley,1.4311,546379,169508,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Westferry Circus,OS_TH_0297,Formal garden,Tower Hamlets,0.3135,537036,180380,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Academy Place Resevoirs Amenity Grassland,OS_Gr_0453,Amenity green space,Greenwich,0.8267,543154,176869,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Wapping Rose Gardens,OS_TH_0202,Park,Tower Hamlets,0.6134,534822,180099,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gallions Reach Park,OS_Gr_0150,Park,Greenwich,2.6795,546532,180518,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Twelve Trees Crescent,OS_TH_0280,Formal garden,Tower Hamlets,0.1554,538064,182409,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Doran Walk Open Space,OS_Ne_0172,Amenity green space,Newham,0.3663,538493,184131,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
London Fields,OS_Hk_0092,Common,Hackney,12.9036,534604,184226,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Broadway Market Green,OS_Hk_0231,Park,Hackney,0.182,534621,183729,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Mansford Street Open Space,OS_TH_0155,Play space,Tower Hamlets,0.2379,534513,182995,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Myrtle Road/Chatteris Avenue Open Space,OS_Hv_0323,Amenity green space,Havering,1.5685,553456,191717,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ash Lane Woodland Walk,OS_Hv_0617,Walking/cycling route,Havering,2.3893,552230,191491,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Upper Green/Woodford Bridge Green,OS_Re_0095,Amenity green space,Redbridge,1.5753,542651,191827,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Wanstead Flats,OS_Re_0084,Park,Redbridge,173.9817,540636,186556,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
River Roding by Wanstead Park,OS_Re_0234,River,Redbridge,3.388,542243,187231,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Boundary Playing Fields,OS_En_0039,Park,Enfield,3.3931,532020,191779,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
